order_id,product,client_id,order_date,money_spent
1,a,473,2017-04-02,14.8
1,b,473,2017-04-02,112.47
1,c,473,2017-04-02,235.69
1,b,473,2017-04-02,28.38
2,a,282,2017-02-17,8.36
2,c,282,2017-02-17,117.72
2,b,282,2017-02-17,15.84
2,a,282,2017-02-17,6.71
3,a,220,2017-02-25,138.57
3,c,220,2017-02-25,36.78
3,a,220,2017-02-25,1.28
3,a,220,2017-02-25,0.83
3,a,220,2017-02-25,167.41
4,a,376,2017-03-02,179.38
4,b,376,2017-03-02,227.14
4,a,376,2017-03-02,71.92
5,a,311,2017-04-08,69.29
5,a,311,2017-04-08,27.84
5,a,311,2017-04-08,28.63
5,b,311,2017-04-08,2.75
5,a,311,2017-04-08,13.83
5,a,311,2017-04-08,25.22
5,c,311,2017-04-08,28.18
6,a,173,2017-01-18,40.95
6,b,173,2017-01-18,378.37
7,a,468,2017-01-09,26.87
7,c,468,2017-01-09,50.53
7,b,468,2017-01-09,17.8
7,a,468,2017-01-09,35.75
7,b,468,2017-01-09,69.33
7,a,468,2017-01-09,42.67
8,c,356,2017-03-23,345.64
8,b,356,2017-03-23,179.84
8,a,356,2017-03-23,160.95
8,a,356,2017-03-23,22.02
9,a,322,2017-03-29,159.9
9,a,322,2017-03-29,56.6
9,a,322,2017-03-29,198.62
9,a,322,2017-03-29,130.06
9,a,322,2017-03-29,58.43
9,b,322,2017-03-29,16.62
10,b,495,2017-03-24,59.96
10,a,495,2017-03-24,8.53
10,a,495,2017-03-24,160.64
10,c,495,2017-03-24,184.95
10,a,495,2017-03-24,32.89
10,a,495,2017-03-24,77.65
10,b,495,2017-03-24,244.05
11,c,194,2017-03-16,431.51
11,c,194,2017-03-16,36.8
11,a,194,2017-03-16,179.27
11,b,194,2017-03-16,21.91
12,a,45,2017-03-28,43.57
12,a,45,2017-03-28,149.5
12,b,45,2017-03-28,94.87
12,a,45,2017-03-28,325.72
13,a,250,2017-04-10,7.19
13,b,250,2017-04-10,100.76
13,c,250,2017-04-10,141.51
13,a,250,2017-04-10,7.88
13,a,250,2017-04-10,66.3
14,a,237,2017-03-23,47.62
14,a,237,2017-03-23,45.79
14,a,237,2017-03-23,23.47
14,c,237,2017-03-23,0.7
14,a,237,2017-03-23,7.56
14,a,237,2017-03-23,121.12
14,a,237,2017-03-23,4.96
15,c,90,2017-03-08,84.68
15,a,90,2017-03-08,2.46
15,c,90,2017-03-08,139.92
16,a,503,2017-03-17,237.28
16,a,503,2017-03-17,184.03
16,a,503,2017-03-17,26.37
16,b,503,2017-03-17,30.07
16,a,503,2017-03-17,95.43
17,a,142,2017-02-27,116.14
17,a,142,2017-02-27,37.33
19,a,338,2017-02-02,56.62
19,b,338,2017-02-02,7.29
19,a,338,2017-02-02,0.84
20,a,384,2017-03-18,123.91
20,a,384,2017-03-18,26.5
20,a,384,2017-03-18,6.83
20,c,384,2017-03-18,58.39
20,b,384,2017-03-18,184.5
20,a,384,2017-03-18,233.13
21,a,136,2017-01-07,103.9
21,a,136,2017-01-07,34.09
21,a,136,2017-01-07,65.06
21,c,136,2017-01-07,91.65
21,b,136,2017-01-07,57.52
22,a,2,2017-02-02,29.11
23,a,326,2017-02-20,164.7
23,a,326,2017-02-20,14.08
23,c,326,2017-02-20,13.88
23,b,326,2017-02-20,60.66
23,a,326,2017-02-20,81.63
23,a,326,2017-02-20,54.73
23,b,326,2017-02-20,19.6
24,a,474,2017-02-10,1.94
24,b,474,2017-02-10,300.41
